Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2001,2001,1000 ha,17034,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2002,2002,1000 ha,16967,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2003,2003,1000 ha,17001,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2004,2004,1000 ha,17013,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2005,2005,1000 ha,17031,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2006,2006,1000 ha,16946,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2007,2007,1000 ha,16950,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2008,2008,1000 ha,16921,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2009,2009,1000 ha,16886,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2010,2010,1000 ha,16700,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2011,2011,1000 ha,16719,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2012,2012,1000 ha,16664,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2013,2013,1000 ha,16697,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2014,2014,1000 ha,18333,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2015,2015,1000 ha,18424,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2016,2016,1000 ha,18342,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2017,2017,1000 ha,18097,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2018,2018,1000 ha,18295,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2019,2019,1000 ha,18311,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1961,1961,1000 ha,5640,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1962,1962,1000 ha,5647,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1963,1963,1000 ha,5671,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1964,1964,1000 ha,5666,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1965,1965,1000 ha,5662,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1966,1966,1000 ha,5635,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1967,1967,1000 ha,5654,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1968,1968,1000 ha,5674,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1969,1969,1000 ha,5691,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1970,1970,1000 ha,5667,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1971,1971,1000 ha,5672,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1972,1972,1000 ha,5682,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1973,1973,1000 ha,5682,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1974,1974,1000 ha,5692,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1975,1975,1000 ha,5715,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1976,1976,1000 ha,5717,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1977,1977,1000 ha,5722,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1978,1978,1000 ha,5727,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1979,1979,1000 ha,5722,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1980,1980,1000 ha,5727,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1981,1981,1000 ha,5732,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1982,1982,1000 ha,5727,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1983,1983,1000 ha,5704,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1984,1984,1000 ha,5696,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1985,1985,1000 ha,5705,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1986,1986,1000 ha,5694,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1987,1987,1000 ha,5669,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1988,1988,1000 ha,5663,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1989,1989,1000 ha,5655,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1990,1990,1000 ha,5649,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1991,1991,1000 ha,4442,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1992,1992,1000 ha,4413,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1993,1993,1000 ha,4404,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1994,1994,1000 ha,4390,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1995,1995,1000 ha,4389,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1996,1996,1000 ha,4341,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1997,1997,1000 ha,4431,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1998,1998,1000 ha,4416,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,1999,1999,1000 ha,4418,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2000,2000,1000 ha,4412,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2001,2001,1000 ha,4410,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2002,2002,1000 ha,4373,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2003,2003,1000 ha,4370,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2004,2004,1000 ha,4305,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2005,2005,1000 ha,4302,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2006,2006,1000 ha,4260,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2007,2007,1000 ha,4276,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2008,2008,1000 ha,4629,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2009,2009,1000 ha,4593.92,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2010,2010,1000 ha,4568,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2011,2011,1000 ha,4555,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2012,2012,1000 ha,4533,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2013,2013,1000 ha,4477,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2014,2014,1000 ha,4466,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2015,2015,1000 ha,4430,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2016,2016,1000 ha,4461,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2017,2017,1000 ha,4489,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2018,2018,1000 ha,4516,Fc,Calculated data
RL,Land Use,104,Ireland,5110,Area,6602,Agriculture,2019,2019,1000 ha,4524,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1961,1961,1000 ha,447509,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1962,1962,1000 ha,443991,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1963,1963,1000 ha,441443,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1964,1964,1000 ha,439012,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1965,1965,1000 ha,435873,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1966,1966,1000 ha,435550,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1967,1967,1000 ha,435307,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1968,1968,1000 ha,435795,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1969,1969,1000 ha,435447,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1970,1970,1000 ha,434400,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1971,1971,1000 ha,433300,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1972,1972,1000 ha,432300,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1973,1973,1000 ha,431200,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1974,1974,1000 ha,430158,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1975,1975,1000 ha,430158,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1976,1976,1000 ha,430158,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1977,1977,1000 ha,430331,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1978,1978,1000 ha,428163,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1979,1979,1000 ha,428163,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1980,1980,1000 ha,428163,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1981,1981,1000 ha,428163,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1982,1982,1000 ha,431399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1983,1983,1000 ha,431399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1984,1984,1000 ha,431399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1985,1985,1000 ha,431399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1986,1986,1000 ha,431399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1987,1987,1000 ha,426948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1988,1988,1000 ha,426948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1989,1989,1000 ha,426948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1990,1990,1000 ha,426948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1991,1991,1000 ha,426948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1992,1992,1000 ha,425429,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1993,1993,1000 ha,422948,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1994,1994,1000 ha,421139,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1995,1995,1000 ha,420139,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1996,1996,1000 ha,416306,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1997,1997,1000 ha,414885,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1998,1998,1000 ha,414588,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,1999,1999,1000 ha,413887,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2000,2000,1000 ha,414399,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2001,2001,1000 ha,414944,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2002,2002,1000 ha,413064,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2003,2003,1000 ha,413022.3,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2004,2004,1000 ha,412980.9,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2005,2005,1000 ha,412939.6,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2006,2006,1000 ha,412898.8,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2007,2007,1000 ha,412857.6,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2008,2008,1000 ha,410902.3,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2009,2009,1000 ha,408947,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2010,2010,1000 ha,406991.7,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2011,2011,1000 ha,405036.4,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2012,2012,1000 ha,403081.0538,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2013,2013,1000 ha,403627,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2014,2014,1000 ha,404172.9,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2015,2015,1000 ha,404718.7,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2016,2016,1000 ha,405264.6,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2017,2017,1000 ha,405810.3538,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2018,2018,1000 ha,405810.3538,Fc,Calculated data
RL,Land Use,231,United States of America,5110,Area,6602,Agriculture,2019,2019,1000 ha,405810.3538,Fc,Calculated data
